Date,Open,High,Low,Close,AdjClose,Volume
31-Dec-1986,243.37,244.03,241.28,242.17,242.17,"13,92,00,000"
2-Jan-1987,242.17,246.45,242.17,246.45,246.45,"9,18,80,000"
5-Jan-1987,246.45,252.57,246.45,252.19,252.19,"18,19,00,000"
6-Jan-1987,252.2,253.99,252.14,252.78,252.78,"18,93,00,000"
7-Jan-1987,252.78,255.72,252.65,255.33,255.33,"19,09,00,000"
8-Jan-1987,255.36,257.28,254.97,257.28,257.28,"19,45,00,000"
9-Jan-1987,257.26,259.2,256.11,258.73,258.73,"19,30,00,000"
12-Jan-1987,258.72,261.36,257.92,260.3,260.3,"18,42,00,000"
13-Jan-1987,260.3,260.45,259.21,259.95,259.95,"17,09,00,000"
14-Jan-1987,259.95,262.72,259.62,262.64,262.64,"21,42,00,000"
15-Jan-1987,262.65,266.68,262.64,265.49,265.49,"25,31,00,000"
16-Jan-1987,265.46,267.24,264.31,266.28,266.28,"21,84,00,000"
19-Jan-1987,266.26,269.34,264,269.34,269.34,"16,28,00,000"
20-Jan-1987,269.34,271.03,267.65,269.04,269.04,"22,48,00,000"
21-Jan-1987,269.04,270.87,267.35,267.84,267.84,"18,42,00,000"
22-Jan-1987,267.84,274.05,267.32,273.91,273.91,"18,87,00,000"
23-Jan-1987,273.91,280.96,268.41,270.1,270.1,"30,24,00,000"
26-Jan-1987,270.1,270.4,267.73,269.61,269.61,"13,89,00,000"
27-Jan-1987,269.61,274.31,269.61,273.75,273.75,"19,23,00,000"
28-Jan-1987,273.75,275.71,273.03,275.4,275.4,"19,58,00,000"
29-Jan-1987,275.4,276.85,272.54,274.24,274.24,"20,53,00,000"
30-Jan-1987,274.24,274.24,271.38,274.08,274.08,"16,34,00,000"
2-Feb-1987,274.08,277.35,273.16,276.45,276.45,"17,74,00,000"
3-Feb-1987,276.45,277.83,275.84,275.99,275.99,"19,81,00,000"
4-Feb-1987,275.99,279.65,275.35,279.64,279.64,"22,24,00,000"
5-Feb-1987,279.64,282.26,278.66,281.16,281.16,"25,67,00,000"
6-Feb-1987,281.16,281.79,279.87,280.04,280.04,"18,41,00,000"
09-Feb-1987,280.04,280.04,277.24,278.16,278.16,"14,33,00,000"
10-Feb-1987,278.16,278.16,273.49,275.07,275.07,"16,83,00,000"
11-Feb-1987,275.07,277.71,274.71,277.54,277.54,"17,24,00,000"
12-Feb-1987,277.54,278.04,273.89,275.62,275.62,"20,04,00,000"
13-Feb-1987,275.62,280.91,275.01,279.7,279.7,"18,44,00,000"
17-Feb-1987,279.7,285.49,279.7,285.49,285.49,"18,78,00,000"
18-Feb-1987,285.49,287.55,282.97,285.42,285.42,"21,82,00,000"
19-Feb-1987,285.42,286.24,283.84,285.57,285.57,"18,15,00,000"
20-Feb-1987,285.57,285.98,284.31,285.48,285.48,"17,58,00,000"
23-Feb-1987,285.48,285.5,279.37,282.38,282.38,"17,05,00,000"
24-Feb-1987,282.38,283.33,281.45,282.88,282.88,"15,13,00,000"
25-Feb-1987,282.88,285.35,282.14,284,284,"18,41,00,000"
26-Feb-1987,284,284.4,280.73,282.96,282.96,"16,58,00,000"
27-Feb-1987,282.96,284.55,282.77,284.2,284.2,"14,28,00,000"
2-Mar-1987,284.17,284.83,282.3,283,283,"15,67,00,000"
3-Mar-1987,283,284.19,282.92,284.12,284.12,"14,92,00,000"
4-Mar-1987,284.12,288.62,284.12,288.62,288.62,"19,84,00,000"
5-Mar-1987,288.62,291.24,288.6,290.52,290.52,"20,54,00,000"
6-Mar-1987,290.52,290.67,288.77,290.66,290.66,"18,16,00,000"
9-Mar-1987,290.66,290.66,287.12,288.3,288.3,"16,54,00,000"
10-Mar-1987,288.3,290.87,287.89,290.86,290.86,"17,48,00,000"
11-Mar-1987,290.87,292.51,289.33,290.31,290.31,"18,69,00,000"
12-Mar-1987,290.33,291.91,289.66,291.22,291.22,"17,45,00,000"
13-Mar-1987,291.22,291.79,289.88,289.89,289.89,"15,09,00,000"
16-Mar-1987,289.88,289.89,286.64,288.23,288.23,"13,49,00,000"
17-Mar-1987,288.09,292.47,287.96,292.47,292.47,"17,73,00,000"
18-Mar-1987,292.49,294.58,290.87,292.78,292.78,"19,81,00,000"
19-Mar-1987,292.73,294.46,292.26,294.08,294.08,"16,61,00,000"
20-Mar-1987,294.08,298.17,294.08,298.17,298.17,"23,40,00,000"
23-Mar-1987,298.16,301.17,297.5,301.16,301.16,"18,91,00,000"
24-Mar-1987,301.17,301.92,300.14,301.64,301.64,"18,99,00,000"
25-Mar-1987,301.52,301.85,299.36,300.38,300.38,"17,13,00,000"
26-Mar-1987,300.39,302.72,300.38,300.93,300.93,"19,60,00,000"
27-Mar-1987,300.96,301.41,296.06,296.13,296.13,"18,44,00,000"
30-Mar-1987,296.1,296.13,286.69,289.2,289.2,"20,84,00,000"
31-Mar-1987,289.21,291.87,289.07,291.7,291.7,"17,18,00,000"
1-Apr-1987,291.59,292.38,288.34,292.38,292.38,"18,26,00,000"
2-Apr-1987,292.41,294.47,292.02,293.63,293.63,"18,30,00,000"
3-Apr-1987,293.64,301.3,292.3,300.41,300.41,"21,34,00,000"
6-Apr-1987,300.46,302.21,300.41,301.95,301.95,"17,37,00,000"
7-Apr-1987,301.94,303.65,296.67,296.69,296.69,"18,64,00,000"
8-Apr-1987,296.72,299.2,295.18,297.26,297.26,"17,98,00,000"
9-Apr-1987,297.25,297.71,291.5,292.86,292.86,"18,03,00,000"
10-April-1987,292.82,293.74,290.94,292.49,292.49,"16,95,00,000"
13-April-1987,292.48,293.36,285.62,285.62,285.62,"18,10,00,000"
14-April-1987,285.61,285.62,275.67,279.16,279.16,"26,65,00,000"
15-April-1987,279.17,285.14,279.16,284.44,284.44,"19,82,00,000"
16-April-1987,284.45,289.57,284.44,286.91,286.91,"18,96,00,000"
20-April-1987,286.91,288.36,284.55,286.09,286.09,"13,91,00,000"
21-April-1987,285.88,293.07,282.89,293.07,293.07,"19,13,00,000"
22-April-1987,293.05,293.46,286.98,287.19,287.19,"18,59,00,000"
23-April-1987,287.19,289.12,284.28,286.82,286.82,"17,39,00,000"
24-April-1987,286.81,286.82,281.18,281.52,281.52,"17,80,00,000"
27-April-1987,281.52,284.45,276.22,281.83,281.83,"22,27,00,000"
28-April-1987,281.83,285.95,281.83,282.51,282.51,"18,01,00,000"
29-April-1987,282.58,286.42,282.58,284.57,284.57,"17,36,00,000"
30-April-1987,284.58,290.08,284.57,288.36,288.36,"18,31,00,000"
1-May-1987,286.99,289.71,286.52,288.03,288.03,"16,01,00,000"
4-May-1987,288.02,289.99,286.39,289.36,289.36,"14,06,00,000"
5-May-1987,289.36,295.4,289.34,295.34,295.34,"19,23,00,000"
6-May-1987,295.35,296.19,293.6,295.47,295.47,"19,66,00,000"
7-May-1987,295.45,296.8,294.07,294.71,294.71,"21,52,00,000"
8-May-1987,294.73,296.18,291.73,293.37,293.37,"16,19,00,000"
11-May-1987,293.37,298.69,291.55,291.57,291.57,"20,37,00,000"
12-May-1987,291.57,293.3,290.18,293.3,293.3,"15,53,00,000"
13-May-1987,293.31,294.54,290.74,293.98,293.98,"17,10,00,000"
14-May-1987,293.98,295.1,292.95,294.24,294.24,"15,20,00,000"
15-May-1987,294.23,294.24,287.11,287.43,287.43,"18,08,00,000"
18-May-1987,287.43,287.43,282.57,286.65,286.65,"17,42,00,000"
19-May-1987,286.66,287.39,278.83,279.62,279.62,"17,54,00,000"
20-May-1987,279.62,280.89,277.01,278.21,278.21,"20,68,00,000"
21-May-1987,278.23,282.31,278.21,280.17,280.17,"16,48,00,000"
22-May-1987,280.17,283.33,280.17,282.16,282.16,"13,58,00,000"
26-May-1987,282.16,289.11,282.16,289.11,289.11,"15,25,00,000"
27-May-1987,289.07,290.78,288.19,288.73,288.73,"17,14,00,000"
28-May-1987,288.73,291.5,286.33,290.76,290.76,"15,38,00,000"
29-May-1987,290.77,292.87,289.7,290.1,290.1,"15,35,00,000"
1-Jun-1987,290.12,291.96,289.23,289.83,289.83,"14,93,00,000"
2-Jun-1987,289.82,290.94,286.93,288.46,288.46,"15,34,00,000"
3-Jun-1987,288.56,293.47,288.56,293.47,293.47,"16,42,00,000"
4-Jun-1987,293.46,295.09,292.76,295.09,295.09,"14,03,00,000"
5-Jun-1987,295.11,295.11,292.8,293.45,293.45,"12,91,00,000"
8-Jun-1987,293.46,297.03,291.55,296.72,296.72,"13,64,00,000"
9-Jun-1987,296.72,297.59,295.9,297.28,297.28,"16,42,00,000"
10-Jun-1987,297.28,300.81,295.66,297.47,297.47,"19,74,00,000"
11-Jun-1987,297.5,298.94,297.47,298.73,298.73,"13,89,00,000"
12-Jun-1987,298.77,302.26,298.73,301.62,301.62,"17,51,00,000"
15-Jun-1987,301.62,304.11,301.62,303.14,303.14,"15,69,00,000"
16-Jun-1987,303.12,304.86,302.6,304.76,304.76,"15,78,00,000"
17-Jun-1987,304.77,305.74,304.03,304.81,304.81,"18,47,00,000"
18-Jun-1987,304.78,306.13,303.38,305.69,305.69,"16,86,00,000"
19-Jun-1987,305.71,306.97,305.55,306.97,306.97,"22,05,00,000"
22-Jun-1987,306.98,310.2,306.97,309.65,309.65,"17,82,00,000"
23-Jun-1987,309.66,310.27,307.48,308.43,308.43,"19,42,00,000"
24-Jun-1987,308.44,308.91,306.32,306.86,306.86,"15,38,00,000"
25-Jun-1987,306.87,309.44,306.86,308.96,308.96,"17,35,00,000"
26-Jun-1987,308.94,308.96,306.36,307.16,307.16,"15,05,00,000"
29-Jun-1987,307.15,308.15,306.75,307.9,307.9,"14,25,00,000"
30-Jun-1987,307.89,308,303.01,304,304,"16,55,00,000"
1-Jul-1987,303.99,304,302.53,302.94,302.94,"15,70,00,000"
2-Jul-1987,302.96,306.34,302.94,305.63,305.63,"15,49,00,000"
6-Jul-1987,305.64,306.75,304.23,304.92,304.92,"15,50,00,000"
7-Jul-1987,304.91,308.63,304.73,307.4,307.4,"20,07,00,000"
8-Jul-1987,307.41,308.48,306.01,308.29,308.29,"20,75,00,000"
9-Jul-1987,308.3,309.56,307.42,307.52,307.52,"19,54,00,000"
10-Jul-1987,307.55,308.4,306.96,308.37,308.37,"17,21,00,000"
13-Jul-1987,308.41,308.41,305.49,307.63,307.63,"15,25,00,000"
14-Jul-1987,307.67,310.69,307.46,310.68,310.68,"18,59,00,000"
15-Jul-1987,310.67,312.08,309.07,310.42,310.42,"20,23,00,000"
16-Jul-1987,311,312.83,310.42,312.7,312.7,"21,09,00,000"
17-Jul-1987,312.71,314.59,312.38,314.59,314.59,"21,00,00,000"
20-Jul-1987,314.56,314.59,311.24,311.39,311.39,"16,81,00,000"
21-Jul-1987,311.36,312.41,307.51,308.55,308.55,"18,66,00,000"
22-Jul-1987,308.56,309.12,307.22,308.47,308.47,"17,47,00,000"
23-Jul-1987,308.5,309.63,306.1,307.81,307.81,"16,37,00,000"
24-Jul-1987,307.82,309.28,307.78,309.27,309.27,"15,84,00,000"
27-Jul-1987,309.3,310.7,308.61,310.65,310.65,"15,20,00,000"
28-Jul-1987,310.65,312.33,310.28,312.33,312.33,"17,26,00,000"
29-Jul-1987,312.34,315.65,311.73,315.65,315.65,"19,62,00,000"
30-Jul-1987,315.69,318.53,315.65,318.05,318.05,"20,80,00,000"
31-Jul-1987,318.05,318.85,317.56,318.66,318.66,"18,19,00,000"
3-Aug-1987,318.62,320.26,316.52,317.57,317.57,"20,78,00,000"
4-Aug-1987,317.59,318.25,314.51,316.23,316.23,"16,65,00,000"
5-Aug-1987,316.25,319.74,316.23,318.45,318.45,"19,27,00,000"
6-Aug-1987,318.49,322.09,317.5,322.09,322.09,"19,20,00,000"
7-Aug-1987,322.1,324.15,321.82,323,323,"21,27,00,000"
10-Aug-1987,322.98,328,322.95,328,328,"18,72,00,000"
11-Aug-1987,328.02,333.4,328,333.33,333.33,"27,81,00,000"
12-Aug-1987,333.32,334.57,331.06,332.39,332.39,"23,58,00,000"
13-Aug-1987,332.38,335.52,332.38,334.65,334.65,"21,71,00,000"
14-Aug-1987,334.63,336.08,332.63,333.99,333.99,"19,61,00,000"
17-Aug-1987,333.98,335.43,332.88,334.11,334.11,"16,61,00,000"
18-Aug-1987,334.1,334.11,326.43,329.25,329.25,"19,84,00,000"
19-Aug-1987,329.26,329.89,326.54,329.83,329.83,"18,09,00,000"
20-Aug-1987,331.49,335.19,329.83,334.84,334.84,"19,66,00,000"
21-Aug-1987,334.85,336.37,334.3,335.9,335.9,"18,96,00,000"
24-Aug-1987,335.89,335.9,331.92,333.33,333.33,"14,94,00,000"
25-Aug-1987,333.37,337.89,333.33,336.77,336.77,"21,35,00,000"
26-Aug-1987,336.77,337.39,334.46,334.57,334.57,"19,62,00,000"
27-Aug-1987,334.56,334.57,331.1,331.38,331.38,"16,36,00,000"
28-Aug-1987,331.37,331.38,327.03,327.04,327.04,"15,63,00,000"
31-Aug-1987,327.03,330.09,326.99,329.8,329.8,"16,58,00,000"
1-Sep-1987,329.81,332.18,322.83,323.4,323.4,"19,35,00,000"
2-Sep-1987,323.4,324.53,318.76,321.68,321.68,"19,99,00,000"
3-Sep-1987,321.47,324.29,317.39,320.21,320.21,"16,52,00,000"
4-Sep-1987,320.21,322.03,316.53,316.7,316.7,"12,91,00,000"
8-Sep-1987,316.68,316.7,308.56,313.56,313.56,"24,29,00,000"
9-Sep-1987,313.6,315.41,312.29,313.92,313.92,"16,49,00,000"
10-Sep-1987,313.92,317.59,313.92,317.13,317.13,"17,98,00,000"
11-Sep-1987,317.14,322.45,317.13,321.98,321.98,"17,80,00,000"
14-Sep-1987,322.02,323.81,320.4,323.08,323.08,"15,44,00,000"
15-Sep-1987,323.07,323.08,317.63,317.74,317.74,"13,62,00,000"
16-Sep-1987,317.75,319.5,314.61,314.86,314.86,"19,57,00,000"
17-Sep-1987,314.94,316.08,313.45,314.93,314.93,"15,07,00,000"
18-Sep-1987,314.98,316.99,314.86,314.86,314.86,"18,81,00,000"
21-Sep-1987,314.92,317.66,310.12,310.54,310.54,"17,01,00,000"
22-Sep-1987,310.54,319.51,308.69,319.5,319.5,"20,95,00,000"
23-Sep-1987,319.49,321.83,319.12,321.19,321.19,"22,03,00,000"
24-Sep-1987,321.09,322.01,319.12,319.72,319.72,"16,22,00,000"
25-Sep-1987,319.72,320.55,318.1,320.16,320.16,"13,80,00,000"
28-Sep-1987,320.16,325.33,320.16,323.2,323.2,"18,81,00,000"
29-Sep-1987,323.2,324.63,320.27,321.69,321.69,"17,35,00,000"
30-Sep-1987,321.69,322.53,320.16,321.83,321.83,"18,31,00,000"
1-Oct-1987,321.83,327.34,321.83,327.33,327.33,"19,32,00,000"
2-Oct-1987,327.33,328.94,327.22,328.07,328.07,"18,91,00,000"
5-Oct-1987,328.07,328.57,326.09,328.08,328.08,"15,97,00,000"
6-Oct-1987,328.08,328.08,319.17,319.22,319.22,"17,56,00,000"
7-Oct-1987,319.22,319.39,315.78,318.54,318.54,"18,63,00,000"
8-Oct-1987,318.54,319.34,312.02,314.16,314.16,"19,87,00,000"
9-Oct-1987,314.16,315.04,310.97,311.07,311.07,"15,83,00,000"
12-Oct-1987,311.07,311.07,306.76,309.39,309.39,"14,19,00,000"
13-Oct-1987,309.39,314.53,309.39,314.52,314.52,"17,29,00,000"
14-Oct-1987,314.52,314.52,304.78,305.23,305.23,"20,74,00,000"
15-Oct-1987,305.21,305.23,298.07,298.08,298.08,"26,32,00,000"
16-Oct-1987,298.08,298.92,281.52,282.7,282.7,"33,85,00,000"
19-Oct-1987,282.7,282.7,224.83,224.84,224.84,"60,43,00,000"
20-Oct-1987,225.06,245.62,216.46,236.83,236.83,"60,81,00,000"
21-Oct-1987,236.83,259.27,236.83,258.38,258.38,"44,96,00,000"
22-Oct-1987,258.24,258.38,242.99,248.25,248.25,"39,22,00,000"
23-Oct-1987,248.29,250.7,242.76,248.22,248.22,"24,56,00,000"
26-Oct-1987,248.2,248.22,227.26,227.67,227.67,"30,88,00,000"
27-Oct-1987,227.67,237.81,227.67,233.19,233.19,"26,02,00,000"
28-Oct-1987,233.19,238.58,226.26,233.28,233.28,"27,94,00,000"
29-Oct-1987,233.31,246.69,233.28,244.77,244.77,"25,81,00,000"
30-Oct-1987,244.77,254.04,244.77,251.79,251.79,"30,34,00,000"
2-Nov-1987,251.73,255.75,249.15,255.75,255.75,"17,60,00,000"
3-Nov-1987,255.75,255.75,242.78,250.82,250.82,"22,78,00,000"
4-Nov-1987,250.81,251,246.34,248.96,248.96,"20,25,00,000"
5-Nov-1987,248.93,256.09,247.72,254.48,254.48,"22,60,00,000"
6-Nov-1987,254.49,257.21,249.68,250.41,250.41,"22,82,90,000"
9-Nov-1987,250.41,250.41,243.01,243.17,243.17,"16,06,90,000"
10-Nov-1987,243.14,243.17,237.64,239,239,"18,43,10,000"
11-Nov-1987,239.01,243.86,239,241.9,241.9,"14,78,50,000"
12-Nov-1987,241.93,249.9,241.9,248.52,248.52,"20,62,80,000"
13-Nov-1987,248.54,249.42,245.64,245.64,245.64,"17,49,20,000"
16-Nov-1987,245.69,249.54,244.98,246.76,246.76,"16,43,40,000"
17-Nov-1987,246.73,246.76,240.81,243.04,243.04,"14,82,40,000"
18-Nov-1987,243.09,245.55,240.67,245.55,245.55,"15,82,70,000"
19-Nov-1987,245.54,245.55,239.7,240.05,240.05,"15,71,40,000"
20-Nov-1987,240.04,242.01,235.89,242,242,"18,91,70,000"
23-Nov-1987,242,242.99,240.5,242.99,242.99,"14,31,60,000"
24-Nov-1987,242.98,247.9,242.98,246.39,246.39,"19,95,20,000"
25-Nov-1987,246.42,246.54,244.08,244.1,244.1,"13,97,80,000"
27-Nov-1987,244.11,244.12,240.34,240.34,240.34,"8,63,60,000"
30-Nov-1987,240.27,240.34,225.75,230.3,230.3,"26,89,10,000"
1-Dec-1987,230.32,234.02,230.3,232,232,"14,98,70,000"
2-Dec-1987,232.01,234.56,230.31,233.45,233.45,"14,88,90,000"
3-Dec-1987,233.46,233.9,225.21,225.21,225.21,"20,41,60,000"
4-Dec-1987,225.2,225.77,221.24,223.92,223.92,"18,48,00,000"
7-Dec-1987,223.98,228.77,223.92,228.76,228.76,"14,66,60,000"
8-Dec-1987,228.77,234.92,228.69,234.91,234.91,"22,73,10,000"
9-Dec-1987,234.91,240.09,233.83,238.89,238.89,"23,14,30,000"
10-Dec-1987,238.89,240.05,233.4,233.57,233.57,"18,89,60,000"
11-Dec-1987,233.6,235.48,233.35,235.32,235.32,"15,16,80,000"
14-Dec-1987,235.3,242.34,235.04,242.19,242.19,"18,76,80,000"
15-Dec-1987,242.19,245.59,241.31,242.81,242.81,"21,49,70,000"
16-Dec-1987,242.81,248.11,242.8,248.08,248.08,"19,38,20,000"
17-Dec-1987,248.08,248.6,242.96,242.98,242.98,"19,17,80,000"
18-Dec-1987,243.01,249.18,243.01,249.16,249.16,"27,62,20,000"
21-Dec-1987,249.14,250.25,248.3,249.54,249.54,"16,17,90,000"
22-Dec-1987,249.56,249.97,247.01,249.95,249.95,"19,26,50,000"
23-Dec-1987,249.96,253.35,249.95,253.16,253.16,"20,31,10,000"
24-Dec-1987,253.13,253.16,251.68,252.03,252.03,"10,88,00,000"
28-Dec-1987,252.01,252.02,244.19,245.57,245.57,"13,12,20,000"
29-Dec-1987,245.58,245.88,244.28,244.59,244.59,"11,15,80,000"
30-Dec-1987,244.63,248.06,244.59,247.86,247.86,"14,92,30,000"